0,1,2,3,4,5,6,7,8,9,10
1.0,0.6086956521739069,0.6172839506172849,0.7205056179775282,0.1555075593952484,0.3089430894308943,0.0,0.0,0.0,0.0,0.0
1.0,0.5434782608695627,0.7407407407407405,0.5168539325842698,0.3520518358531317,0.34146341463414637,0.0,0.0,0.0,0.0,0.0
1.0,0.6521739130434767,0.6666666666666714,0.6952247191011238,0.22894168466522669,0.13821138211382114,0.0,0.0,0.0,0.0,0.0
1.0,0.8804347826086882,0.7407407407407405,0.2387640449438202,0.5183585313174945,0.7804878048780488,0.0,1.0,0.0,0.0,0.0
1.0,0.6086956521739069,0.790123456790127,0.1601123595505618,0.6155507559395248,0.3089430894308943,0.0,0.0,0.0,0.0,0.0
0.5,0.29347826086956275,0.3827160493827222,0.5997191011235954,0.29373650107991367,0.861788617886179,0.0,0.0,0.0,0.0,0.0
0.5,0.4130434782608674,0.5925925925925952,0.4241573033707866,0.3822894168466522,0.1869918699186992,0.0,0.0,0.0,0.0,0.0
1.0,0.28260869565216495,0.2716049382716008,0.5014044943820226,0.42548596112311,0.15447154471544716,0.0,0.0,0.0,0.0,0.0
1.0,0.28260869565216495,0.3456790123456841,0.3735955056179774,0.44708423326133895,0.6382113821138212,0.0,0.0,0.0,0.0,0.0
1.0,0.891304347826086,0.8024691358024683,0.8918539325842698,0.0755939524838013,0.44308943089430897,0.0,0.0,0.0,0.0,0.0
0.0,0.9456521739130395,0.9135802469135825,0.4058988764044942,0.548596112311015,0.6747967479674798,0.0,0.0,0.0,0.0,0.0
1.0,0.7717391304347743,0.654320987654323,0.5575842696629214,0.3542116630669546,0.2601626016260163,0.0,0.0,0.0,0.0,0.0
0.5,0.3913043478260789,0.5308641975308674,0.5351123595505618,0.29589632829373635,0.7439024390243903,0.0,0.0,0.0,0.0,0.0
0.5,0.9565217391304373,0.9012345679012341,0.5379213483146066,0.36933045356371497,0.02845528455284553,0.0,0.0,0.0,0.0,0.0
1.0,0.6956521739130395,0.6296296296296333,0.6853932584269662,0.24838012958963285,0.5569105691056911,0.0,0.0,0.0,0.0,0.0
0.5,0.10869565217390686,0.19753086419753174,0.359550561797753,0.4622030237580993,0.8455284552845529,0.0,0.0,0.0,0.0,0.0
0.5,0.3152173913043441,0.4197530864197603,0.5421348314606742,0.32613390928725705,0.8089430894308944,0.0,0.0,0.0,0.0,0.0
1.0,0.4347826086956488,0.3333333333333357,0.5042134831460674,0.3758099352051836,0.8252032520325204,1.0,0.0,0.0,0.0,0.0
0.5,0.3478260869565162,0.45679012345679126,0.5126404494382022,0.3801295896328294,0.17479674796747968,0.0,0.0,0.0,0.0,0.0
1.0,0.5326086956521721,0.5061728395061778,0.3974719101123594,0.5529157667386609,0.16666666666666669,0.0,0.0,0.0,0.0,0.0
0.5,0.3260869565217348,0.4197530864197603,0.3342696629213484,0.5896328293736499,0.13414634146341464,0.0,0.0,0.0,0.0,0.0
1.0,0.7499999999999929,0.6419753086419746,0.1671348314606742,0.7192224622030237,0.23577235772357727,0.0,0.0,0.0,0.0,0.0
0.5,0.6086956521739069,0.5802469135802468,0.6067415730337078,0.2332613390928725,0.8130081300813009,0.0,0.0,0.0,0.0,0.0
0.5,0.6195652173912976,0.6419753086419746,0.5407303370786518,0.3909287257019438,0.6991869918699187,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.3333333333333357,0.7303370786516854,0.24406047516198692,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
0.5,0.5434782608695627,0.7160493827160508,0.273876404494382,0.5917926565874729,0.2601626016260163,0.0,0.0,0.0,0.0,0.0
0.5,0.6521739130434767,0.5679012345679055,0.3047752808988764,0.5226781857451402,0.1910569105691057,0.0,0.0,0.0,0.0,0.0
0.5,0.7826086956521721,0.7654320987654302,0.5196629213483146,0.4319654427645788,0.7601626016260163,0.0,0.0,0.0,0.0,0.0
0.5,0.25,0.4074074074074119,0.4269662921348314,0.5464362850971921,0.2601626016260163,0.0,0.0,0.0,0.0,0.0
1.0,0.5652173913043441,0.5308641975308674,0.3132022471910112,0.6501079913606911,0.48373983739837406,0.0,0.0,0.0,0.0,0.0
0.5,0.3478260869565162,0.45679012345679126,0.2542134831460674,0.5269978401727862,0.6585365853658537,0.0,0.0,0.0,0.0,0.0
0.5,0.7717391304347743,0.654320987654323,0.4101123595505618,0.6004319654427646,0.32113821138211385,0.0,0.0,0.0,0.0,0.0
0.5,0.4891304347826093,0.46913580246913966,0.6432584269662922,0.1511879049676026,0.06504065040650407,0.0,0.0,0.0,0.0,0.0
0.5,0.7717391304347743,0.5432098765432158,0.7387640449438202,0.25269978401727855,0.40650406504065045,0.0,0.0,0.0,0.0,0.0
1.0,0.7282608695652115,0.6913580246913611,0.4873595505617978,0.3520518358531317,0.10975609756097562,0.0,0.0,0.0,0.0,0.0
